Title,Year,Worldwide_Box_Office,WBO_Adjusted_for_Inflation
Crack House,1989,862551.0,4495523.64
The Terror Within,1989,858591.0,4474884.54
Akira,1989,830239.0,4327116.95
Little Monsters,1989,793775.0,4137070.48
The Toxic Avenger Part II,1989,792966.0,4132854.06
For All Mankind,1989,770132.0,4013845.69
The Girl in a Swing,1989,747013.0,3893351.93
Vampire's Kiss,1989,725131.0,3779305.29
"Distant Voices, Still Lives",1989,688329.0,3587497.19
Wuthering Heights,1989,624643.0,3255572.57
The Wizard of Oz 1989 Re-release,1989,612300.0,3191242.17
Eddie and the Cruisers II: Eddie Lives!,1989,536508.0,2796222.37
"Thelonious Monk: Straight, No Chaser",1989,518918.0,2704545.17
Slaves of New York,1989,463972.0,2418172.48
The Rainbow,1989,444055.0,2314367.21
How to Get Ahead in Advertising,1989,418053.0,2178847.56
Triumph of the Spirit,1989,408839.0,2130825.18
The Toxic Avenger Part III: The Last Temptation of Toxie,1989,363561.0,1894841.08
Night Game,1989,337812.0,1760640.05
Crusoe,1989,315421.0,1643940.55
Out Cold,1989,294266.0,1533682.95
Powwow Highway,1989,283747.0,1478859.04
Kill Me Again,1989,283694.0,1478582.81
Heavy Petting,1989,272371.0,1419568.55
Paperhouse,1989,241278.0,1257515.15
Weapons of the Spirit,1989,232981.0,1214272.08
Home Alone,1990,289012363.0,1727814803.63
Ghost,1990,217631670.0,1301076595.0
Dances with Wolves,1990,184208848.0,1101263528.07
Pretty Woman,1990,178464485.0,1066921760.39
Teenage Mutant Ninja Turtles,1990,135267509.0,808675456.21
The Hunt for Red October,1990,122012643.0,729433331.56
Total Recall,1990,119394840.0,713783209.44
Die Hard 2,1990,117542606.0,702709920.77
Dick Tracy,1990,103738726.0,620185602.55
Kindergarten Cop,1990,91457688.0,546765354.92
Back to the Future Part III,1990,87727583.0,524465510.82
Days of Thunder,1990,87163545.0,521093498.65
Presumed Innocent,1990,86303188.0,515949990.09
Another 48 Hrs.,1990,80818974.0,483163482.15
Three Men and a Little Lady,1990,71609321.0,428105025.05
Bird on a Wire,1990,70978012.0,424330843.82
The Godfather Part III,1990,66666062.0,398552531.21
Flatliners,1990,61489265.0,367603867.28
Misery,1990,61276872.0,366334109.25
Edward Scissorhands,1990,56362461.0,336954078.62
Problem Child,1990,53470891.0,319667283.69
Arachnophobia,1990,53208180.0,318096707.43
Awakenings,1990,52096475.0,311450554.53
Look Who's Talking Too,1990,47789074.0,285699437.39
Hard to Kill,1990,47410827.0,283438147.4
Goodfellas,1990,46836797.0,280006399.63
Marked for Death,1990,46044396.0,275269155.3
RoboCop 2,1990,45681173.0,273097683.91
The Jungle Book 1990 Re-release,1990,44645619.0,266906787.74
Young Guns II,1990,44143410.0,263904410.49
Gremlins 2: The New Batch,1990,41482207.0,247994828.31
Rocky V,1990,40946358.0,244791339.63
Joe Versus the Volcano,1990,39404261.0,235572156.07
Postcards from the Edge,1990,39071603.0,233583412.71
Mermaids,1990,35419397.0,211749275.49
Darkman,1990,33878502.0,202537277.9
Air America,1990,31053601.0,185649053.06
Predator 2,1990,30669413.0,183352245.73
Green Card,1990,29888235.0,178682096.33
Pacific Heights,1990,29381956.0,175655387.23
Child's Play 2,1990,28501605.0,170392347.7
The Rescuers Down Under,1990,27931461.0,166983831.77
Internal Affairs,1990,27734391.0,165805679.88
Cadillac Man,1990,27627310.0,165165513.01
Memphis Belle,1990,27441977.0,164057528.92
House Party,1990,26385627.0,157742307.15
Jacob's Ladder,1990,26118851.0,156147428.93
The Exorcist III,1990,26098824.0,156027700.67
Fantasia 1990 Re-release,1990,25363371.0,151630910.97
Navy Seals,1990,25069101.0,149871664.22
Ernest Goes to Jail,1990,25029569.0,149635328.39
Ghost Dad,1990,24707633.0,147710684.82
My Blue Heaven,1990,23591472.0,141037892.42
The Russia House,1990,22997992.0,137489865.9
The First Power,1990,22424195.0,134059511.08
The Rookie,1990,21633874.0,129334701.7
The Freshman,1990,21460601.0,128298816.42
The Adventures of Ford Fairlane,1990,21413502.0,128017242.48
Quigley Down Under,1990,21413105.0,128014869.08
Madhouse,1990,21036771.0,125765015.65
Hamlet,1990,20710451.0,123814163.02
Jetsons: The Movie,1990,20305841.0,121395265.99
Stella,1990,20240128.0,121002411.19
Taking Care of Business,1990,20005435.0,119599336.12
Betsy's Wedding,1990,19740070.0,118012893.35
DuckTales the Movie: Treasure of the Lost Lamp,1990,18115724.0,108301997.12
Sibling Rivalry,1990,17854933.0,106742899.28
White Palace,1990,17487531.0,104546444.41
The Guardian,1990,17037887.0,101858318.71
Death Warrant,1990,16853487.0,100755912.41
Tremors,1990,16667084.0,99641531.49
Tales from the Darkside: The Movie,1990,16324573.0,97593883.53
Men at Work,1990,16247964.0,97135888.71
I Love You to Death,1990,16186793.0,96770187.54
Mo' Better Blues,1990,16153593.0,96571706.58
Avalon,1990,15740796.0,94103864.86
The Bonfire of the Vanities,1990,15691192.0,93807315.17
Revenge,1990,15645616.0,93534846.25
Reversal of Fortune,1990,15445131.0,92336278.31
Mr. Destiny,1990,15379253.0,91942437.09
Spaced Invaders,1990,15369573.0,91884566.73
Quick Change,1990,15260154.0,91230422.51
Fire Birds,1990,14760451.0,88243026.98
Wild at Heart,1990,14561143.0,87051495.56
Lord of the Flies,1990,13985225.0,83608460.68
The Grifters,1990,13446769.0,80389386.45
Crazy People,1990,13236513.0,79132404.14
Bad Influence,1990,12626043.0,75482805.58
Cinema Paradiso,1990,11990401.0,71682720.19
Graveyard Shift,1990,11582891.0,69246485.97
Henry & June,1990,11567449.0,69154168.41
Pump Up the Volume,1990,11541758.0,69000578.82
Opportunity Knocks,1990,11359129.0,67908760.16
Q&A,1990,11207891.0,67004607.64
Wild Orchid,1990,11060485.0,66123364.14
Nuns on the Run,1990,10959015.0,65516741.75
Narrow Margin,1990,10873237.0,65003931.52
The Witches,1990,10360553.0,61938931.13
The Adventures of Milo and Otis 1990 Re-release,1990,10351534.0,61885012.46
The Two Jakes,1990,10005969.0,59819106.64
Miami Blues,1990,9888167.0,59114845.97
Nightbreed,1990,9469695.0,56613077.16
Havana,1990,9243140.0,55258653.85
Ski Patrol,1990,8533973.0,51019010.85
Cry-Baby,1990,8266343.0,49419027.13
Blue Steel,1990,8217997.0,49129998.2
Funny About Love,1990,8141292.0,48671429.46
"The Cook, the Thief, His Wife & Her Lover",1990,7724701.0,46180905.91
Mr. & Mrs. Bridge,1990,7698010.0,46021337.97
Alice,1990,7331647.0,43831094.59
Almost an Angel,1990,6939946.0,41489371.98
Delta Force 2: The Colombian Connection,1990,6698361.0,40045094.18
Flashback,1990,6488114.0,38788165.67
The Gods Must Be Crazy II,1990,6291444.0,37612405.11
Men Don't Leave,1990,6070725.0,36292871.4
Night of the Living Dead,1990,5835247.0,34885103.34
Cyrano de Bergerac,1990,5820020.0,34794071.12
Stanley & Iris,1990,5820015.0,34794041.23
Leatherface: Texas Chainsaw Massacre III,1990,5765562.0,34468502.56
Hardware,1990,5728953.0,34249641.43
Loose Cannons,1990,5585154.0,33389961.81
Miller's Crossing,1990,5080409.0,30372423.48
The Handmaid's Tale,1990,4960385.0,29654878.93
The Long Walk Home,1990,4873620.0,29136168.07
Longtime Companion,1990,4609953.0,27559876.52
Graffiti Bridge,1990,4562778.0,27277848.23
Dark Angel,1990,4348368.0,25996031.88
Lisa,1990,4347648.0,25991727.47
Lambada,1990,4263112.0,25486342.34
China Cry: A True Story,1990,4212828.0,25185727.38
Heart Condition,1990,4134992.0,24720397.14
Tie Me Up! Tie Me Down!,1990,4087361.0,24435642.72
Mountains of the Moon,1990,4011793.0,23983871.36
Short Time,1990,4010647.0,23977020.18
"Welcome Home, Roxy Carmichael",1990,3989297.0,23849382.57
The Lemon Sisters,1990,3473905.0,20768192.83
A Shock to the System,1990,3417056.0,20428330.06
Metropolitan,1990,2938208.0,17565612.85
Desperate Hours,1990,2742912.0,16398066.54
Blind Fury,1990,2692037.0,16093918.38
"After Dark, My Sweet",1990,2678414.0,16012475.42
King of New York,1990,2554476.0,15271531.65
Impulse,1990,2544504.0,15211915.62
Class of 1999,1990,2459895.0,14706094.07
Body Chemistry,1990,2415312.0,14439561.64
Downtown,1990,2346150.0,14026087.53
White Hunter Black Heart,1990,2319124.0,13864516.86
The Nasty Girl,1990,2281569.0,13640000.22
Texasville,1990,2268181.0,13559962.17
Vincent & Theo,1990,2231274.0,13339319.5
Def by Temptation,1990,2218579.0,13263424.44
Eating,1990,2100538.0,12557734.95
The Sheltering Sky,1990,2075084.0,12405562.23
The Krays,1990,2060847.0,12320448.57
Dreams,1990,1963207.0,11736723.24
State of Grace,1990,1911542.0,11427852.19
The Forbidden Dance,1990,1823154.0,10899438.48
Tune in Tomorrow...,1990,1794001.0,10725151.87
The Nutcracker Prince,1990,1781694.0,10651576.41
Too Beautiful for You,1990,1776440.0,10620166.2
Last Exit to Brooklyn,1990,1730005.0,10342561.88
The Rain Killer,1990,1696066.0,10139662.93
Brain Dead,1990,1627955.0,9732472.06
Jesus of Montreal,1990,1601612.0,9574984.59
May Fools,1990,1576702.0,9426064.09
The Haunting of Morella,1990,1547867.0,9253678.59
The Last of the Finest,1990,1531489.0,9155765.3
Streets,1990,1510053.0,9027613.56
A Cry in the Wild,1990,1494969.0,8937436.25
The Field,1990,1494399.0,8934028.59
Love at Large,1990,1436308.0,8586740.72
Monsieur Hire,1990,1417030.0,8471490.24
Courage Mountain,1990,1393610.0,8331477.46
Repossessed,1990,1382462.0,8264830.9
Daddy's Dyin'... Who's Got the Will?,1990,1373728.0,8212616.06
Everybody Wins,1990,1372350.0,8204377.91
The Fourth War,1990,1305887.0,7807039.35
The Hot Spot,1990,1293976.0,7735831.32
Bloodfist II,1990,1292323.0,7725949.12
This Is Not Frank's Planet/Snowie and the Seven Dorps/Poumse...,1990,1289551.0,7709377.15
Robot Jox,1990,1272977.0,7610292.11
Slumber Party Massacre III,1990,1242995.0,7431049.45
The Icicle Thief,1990,1231622.0,7363057.77
Vital Signs,1990,1224605.0,7321107.74
Without You I'm Nothing,1990,1218730.0,7285984.98
The Boyfriend School,1990,1171762.0,7005194.2
To Sleep with Anger,1990,1161135.0,6941662.36
Where the Heart Is,1990,1106475.0,6614886.18
Hidden Agenda,1990,1030938.0,6163300.14
Corporate Affairs,1990,1006575.0,6017649.79
Come See the Paradise,1990,947306.0,5663319.43
Sweetie,1990,938065.0,5608073.57
The Blood of Heroes,1990,882290.0,5274631.53
Angel Town,1990,855810.0,5116325.03
Waiting for the Light,1990,808690.0,4834625.55
C'est la vie,1990,805472.0,4815387.24
Listen Up: The Lives of Quincy Jones,1990,776699.0,4643372.4
22nd Annual International Tournée of Animation,1990,768304.0,4593184.22
Strapless,1990,764794.0,4572200.24
Coupe de Ville,1990,715983.0,4280391.38
Beauty and the Beast,1991,248802521.0,979467580.46
Terminator 2: Judgment Day,1991,204843837.0,806414246.1
Robin Hood: Prince of Thieves,1991,165493908.0,651504321.58
The Silence of the Lambs,1991,130744604.0,514705801.31
City Slickers,1991,124033791.0,488287163.16
Hook,1991,119655099.0,471049448.52
The Addams Family,1991,113502426.0,446828055.13
Sleeping with the Enemy,1991,101599005.0,399967537.33
Father of the Bride,1991,89325780.0,351651202.16
The Naked Gun 2½: The Smell of Fear,1991,86930411.0,342221288.55
Fried Green Tomatoes,1991,82418501.0,324459131.02
Cape Fear,1991,79091969.0,311363482.97
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,78656813.0,309650392.63
Backdraft,1991,77868585.0,306547354.25
Star Trek VI: The Undiscovered Country,1991,74888996.0,294817526.05
The Prince of Tides,1991,74787599.0,294418353.75
JFK,1991,70405498.0,277167218.81
Hot Shots!,1991,69467617.0,273475037.43
What About Bob?,1991,63707829.0,250800325.0
One Hundred and One Dalmatians 1991 Re-release,1991,60830285.0,239472220.09
The Last Boy Scout,1991,59509925.0,234274323.34
My Girl,1991,59489799.0,234195092.78
Boyz n the Hood,1991,57504069.0,226377816.04
Doc Hollywood,1991,54830779.0,215853803.35
Bugsy,1991,49114016.0,193348468.6
New Jack City,1991,47624353.0,187484072.17
The Rocketeer,1991,46704056.0,183861114.21
Thelma & Louise,1991,45454078.0,178940292.17
Point Break,1991,43218387.0,170138987.24
Regarding Henry,1991,43001500.0,169285162.35
The Fisher King,1991,41895491.0,164931106.96
Out for Justice,1991,39673161.0,156182400.64
The Doctor,1991,38120905.0,150071592.66
Bill & Ted's Bogus Journey,1991,38037931.0,149744946.69
Dead Again,1991,38016380.0,149660106.28
Soapdish,1991,36489888.0,143650724.15
Freddy's Dead: The Final Nightmare,1991,34872033.0,137281670.83
White Fang,1991,34793160.0,136971169.36
The Doors,1991,34494884.0,135796938.21
King Ralph,1991,34002045.0,133856765.65
Curly Sue,1991,33691313.0,132633498.62
Dying Young,1991,33669178.0,132546359.17
Grand Canyon,1991,33243020.0,130868691.51
Jungle Fever,1991,32482682.0,127875448.44
Double Impact,1991,30102717.0,118506176.17
L.A. Story,1991,28862081.0,113622131.04
Deceived,1991,28738096.0,113134035.95
Necessary Roughness,1991,26255594.0,103361103.52
The Hard Way,1991,25895485.0,101943452.73
Other People's Money,1991,25682090.0,101103374.89
Don't Tell Mom the Babysitter's Dead,1991,25196249.0,99190751.55
Problem Child 2,1991,25104700.0,98830348.13
Little Man Tate,1991,25010896.0,98461067.4
Class Action,1991,24277858.0,95575296.98
The People Under the Stairs,1991,24204154.0,95285144.46
Lionheart,1991,24078196.0,94789282.21
Oscar,1991,23562716.0,92759978.22
Frankie and Johnny,1991,22773535.0,89653188.14
Pure Luck,1991,22641969.0,89135248.73
An American Tail: Fievel Goes West,1991,22166041.0,87261650.16
Only the Lonely,1991,21830957.0,85942515.96
Ricochet,1991,21756163.0,85648072.41
F/X2,1991,21082165.0,82994726.34
Mobsters,1991,20246790.0,79706083.1
House Party 2,1991,19438638.0,76524609.37
Mortal Thoughts,1991,18784957.0,73951245.78
Paradise,1991,18634643.0,73359500.61
For the Boys,1991,17860280.0,70311044.95
The NeverEnding Story II: The Next Chapter,1991,17373527.0,68394831.32
Hudson Hawk,1991,17218080.0,67782878.93
Defending Your Life,1991,16371128.0,64448660.2
Billy Bathgate,1991,15565363.0,61276583.43
Highlander II: The Quickening,1991,15556340.0,61241062.35
Switch,1991,15545943.0,61200132.2
A Kiss Before Dying,1991,15429177.0,60740456.34
Shipwrecked,1991,15104156.0,59460937.42
Toy Soldiers,1991,15073942.0,59341993.16
Madonna: Truth or Dare,1991,15014326.0,59107301.25
Child's Play 3,1991,14960255.0,58894438.49
The Commitments,1991,14919570.0,58734272.75
Once Around,1991,14851083.0,58464658.13
All I Want for Christmas,1991,14812144.0,58311365.93
Not Without My Daughter,1991,14789113.0,58220699.17
Flight of the Intruder,1991,14587732.0,57427917.17
Ernest Scared Stupid,1991,14143280.0,55678231.02
The Perfect Weapon,1991,14061361.0,55355738.28
Drop Dead Fred,1991,13878564.0,54636116.41
The Marrying Man,1991,12454768.0,49031020.38
Shattered,1991,11511031.0,45315785.54
Career Opportunities,1991,11336986.0,44630617.9
One Good Cop,1991,11276846.0,44393863.14
V.I. Warshawski,1991,11128309.0,43809113.54
The Super,1991,11000863.0,43307393.44
A Rage in Harlem,1991,10438504.0,41093539.63
"He Said, She Said",1991,9804775.0,38598721.62
The Butcher's Wife,1991,9689816.0,38146159.43
Scenes from a Mall,1991,9563393.0,37648466.6
Guilty by Suspicion,1991,9480198.0,37320950.61
Body Parts,1991,9188150.0,36171237.39
Stone Cold,1991,9151887.0,36028479.86
Warlock,1991,9094451.0,35802370.01
Late for Dinner,1991,8906823.0,35063729.81
The Five Heartbeats,1991,8750400.0,34447935.18
Bingo,1991,8667684.0,34122304.88
Nothing But Trouble,1991,8479793.0,33382629.32
Black Robe,1991,8211952.0,32328212.45
If Looks Could Kill,1991,7788597.0,30661579.43
Strictly Business,1991,7683267.0,30246923.98
Harley Davidson and the Marlboro Man,1991,7434726.0,29268485.94
Wild Hearts Can't Be Broken,1991,7294835.0,28717773.27
Rush,1991,7241350.0,28507217.43
Suburban Commando,1991,6948859.0,27355760.24
Defenseless,1991,6413375.0,25247705.97
My Own Private Idaho,1991,6405640.0,25217255.38
Rambling Rose,1991,6266621.0,24669975.54
Mystery Date,1991,6166819.0,24277082.33
Barton Fink,1991,6153939.0,24226377.28
Europa Europa,1991,5575738.0,21950157.84
Delirious,1991,5546827.0,21836343.13
Livin' Large!,1991,5467959.0,21525861.35
Eve of Destruction,1991,5451119.0,21459566.87
The Object of Beauty,1991,5136759.0,20222017.4
La Femme Nikita,1991,5017971.0,19754381.48
True Identity,1991,4693236.0,18475988.47
The Hitman,1991,4654288.0,18322660.83
Dutch,1991,4603929.0,18124411.2
Run,1991,4409328.0,17358320.21
Hear My Song,1991,4313473.0,16980965.25
Popcorn,1991,4205000.0,16553936.67
Life Stinks,1991,4102526.0,16150524.52
Impromptu,1991,4076211.0,16046929.55
Antarctica,1991,4075362.0,16043587.27
Paris Is Burning,1991,3779620.0,14879331.78
Mannequin: On the Move,1991,3752428.0,14772284.3
My Heroes Have Always Been Cowboys,1991,3603615.0,14186448.15
Shout,1991,3547684.0,13966263.08
Homicide,1991,2971661.0,11698617.84
Another You,1991,2865916.0,11282328.65
The Man in the Moon,1991,2853801.0,11234635.2
Return to the Blue Lagoon,1991,2807854.0,11053754.41
Straight Out of Brooklyn,1991,2712293.0,10677556.85
Naked Lunch,1991,2641357.0,10398301.19
Showdown in Little Tokyo,1991,2275557.0,8958246.48
29th Street,1991,2120564.0,8348081.37
Cadence,1991,2070871.0,8152453.6
The Double Life of Véronique,1991,2002966.0,7885130.16
Ju Dou,1991,1986433.0,7820044.25
Madame Bovary,1991,1942423.0,7646788.9
Spartacus 1991 Re-release,1991,1830650.0,7206769.12
Prospero's Books,1991,1750301.0,6890457.05
Everybody's Fine,1991,1745470.0,6871438.72
My Father's Glory,1991,1730856.0,6813907.4
High Heels,1991,1710057.0,6732027.41
Citizen Kane 1991 Re-release,1991,1585634.0,6242208.04
Truly Madly Deeply,1991,1554742.0,6120594.67
Life Is Sweet,1991,1516414.0,5969707.81
Company Business,1991,1501785.0,5912117.43
My Mother's Castle,1991,1477071.0,5814825.16
Mister Johnson,1991,1464242.0,5764320.89
Book of Love,1991,1382259.0,5441576.21
At Play in the Fields of the Lord,1991,1345903.0,5298452.56
City of Hope,1991,1345015.0,5294956.75
Hearts of Darkness: A Filmmaker's Apocalypse,1991,1318449.0,5190373.66
The Rapture,1991,1277404.0,5028790.71
Kickboxer 2: The Road Back,1991,1250712.0,4923711.59
The Comfort of Strangers,1991,1244381.0,4898788.17
Slacker,1991,1228108.0,4834725.82
Cool as Ice,1991,1193062.0,4696759.28
Year of the Gun,1991,1182273.0,4654285.94
The Unborn,1991,1159578.0,4564941.92
Daddy Nostalgia,1991,1108429.0,4363582.28
Kafka,1991,1059071.0,4169273.31
An Angel at My Table,1991,1054638.0,4151821.8
Whore,1991,1008404.0,3969811.17
Screenplay: Antonia and Jane,1991,1002078.0,3944907.43
Meeting Venus,1991,1000348.0,3938096.89
Talkin' Dirty After Dark,1991,978775.0,3853169.88
The Taking of Beverly Hills,1991,939277.0,3697677.04
Beastmaster 2: Through the Portal of Time,1991,869325.0,3422295.12
The 23rd Tournee of Animation,1991,862309.0,3394675.05
The Miracle,1991,835519.0,3289210.13
Until the End of the World,1991,829625.0,3266007.07
Poison,1991,787280.0,3099306.36
Mindwalk,1991,774048.0,3047215.59
The Story of Boys & Girls,1991,741221.0,2917984.66
Rosencrantz & Guildenstern Are Dead,1991,739104.0,2909650.61
The British Invasion Returns,1991,729102.0,2870275.47
Thousand Pieces of Gold,1991,717772.0,2825672.35
Dice Rules,1991,637327.0,2508982.35
Queens Logic,1991,612781.0,2412351.45
Auntie Danielle,1991,604624.0,2380239.57
The Pope Must Diet,1991,582510.0,2293182.79
The Search for Signs of Intelligent Life in the Universe,1991,579854.0,2282726.85
Rich Girl,1991,561000.0,2208503.8
Hangin' with the Homeboys,1991,532933.0,2098011.68
"Sex, Drugs, Rock & Roll",1991,530392.0,2088008.46
Rhapsody in August,1991,516431.0,2033047.82
Meet the Applegates,1991,485772.0,1912351.71
McBain,1991,456127.0,1795647.44
Drowning by Numbers,1991,424773.0,1672215.3
Aladdin,1992,346476295.0,900558482.15
Batman Returns,1992,266831698.0,693546867.16
Home Alone 2: Lost in New York,1992,173595300.0,451207549.07
Lethal Weapon 3,1992,144731527.0,376185055.53
A Few Good Men,1992,141354048.0,367406338.47
Sister Act,1992,139605182.0,362860699.61
The Bodyguard,1992,121945720.0,316960363.79
Wayne's World,1992,121697862.0,316316133.21
Basic Instinct,1992,117727224.0,305995681.91
A League of Their Own,1992,107535154.0,279504533.1
Unforgiven,1992,101157447.0,262927646.84
The Hand That Rocks the Cradle,1992,88036683.0,228824259.44
Under Siege,1992,83563139.0,217196658.78
Patriot Games,1992,83351587.0,216646794.48
Bram Stoker's Dracula,1992,82522790.0,214492591.78
White Men Can't Jump,1992,76253806.0,198198297.49
The Last of the Mohicans,1992,75506530.0,196255983.54
Boomerang,1992,70052444.0,182079765.77
Scent of a Woman,1992,63095253.0,163996689.22
The Crying Game,1992,62548947.0,162576734.93
Far and Away,1992,58883840.0,153050417.41
"Honey, I Blew Up the Kid",1992,58662452.0,152474987.45
HouseSitter,1992,58500635.0,152054393.97
Death Becomes Her,1992,58423992.0,151855184.08
Unlawful Entry,1992,57138719.0,148514512.53
Beethoven,1992,57114049.0,148450390.46
Forever Young,1992,55956187.0,145440884.58
Alien³,1992,55473545.0,144186405.26
My Cousin Vinny,1992,52929168.0,137573080.42
Sneakers,1992,51432691.0,133683449.08
The Mighty Ducks,1992,50752553.0,131915639.7
Wayne's World 2,1992,48198019.0,125275914.86
Malcolm X,1992,48169910.0,125202854.17
Single White Female,1992,48017402.0,124806456.56
The Distinguished Gentleman,1992,46666502.0,121295207.82
Medicine Man,1992,45500797.0,118265316.49
Passenger 57,1992,44065653.0,114535101.4
A River Runs Through It,1992,43440294.0,112909673.17
Encino Man,1992,40693477.0,105770167.86
Mo' Money,1992,40227006.0,104557720.07
Universal Soldier,1992,36299898.0,94350411.61
Honeymoon in Vegas,1992,35208854.0,91514578.56
The Lawnmower Man,1992,32100816.0,83436190.44
Sleepwalkers,1992,30524763.0,79339725.78
The Muppet Christmas Carol,1992,29192832.0,75877781.12
3 Ninjas,1992,29000301.0,75377356.05
Final Analysis,1992,28590665.0,74312633.35
Stop! Or My Mom Will Shoot,1992,28411210.0,73846195.32
Howards End,1992,25968006.0,67495838.55
Candyman,1992,25792310.0,67039170.88
The Cutting Edge,1992,25105517.0,65254063.87
FernGully: The Last Rainforest,1992,24650296.0,64070857.0
Hoffa,1992,24276506.0,63099304.95
Leap of Faith,1992,23369283.0,60741258.01
Toys,1992,23278931.0,60506415.79
Thunderheart,1992,22660758.0,58899665.35
Captain Ron,1992,22518097.0,58528862.0
The Player,1992,21706101.0,56418328.33
Shining Through,1992,21633781.0,56230354.75
Consenting Adults,1992,21591728.0,56121050.92
Raising Cain,1992,21370057.0,55544885.39
Straight Talk,1992,21202099.0,55108330.27
Kuffs,1992,21142815.0,54954239.75
Mr. Baseball,1992,20883046.0,54279050.2
Juice,1992,20146880.0,52365613.27
Prelude to a Kiss,1992,20006730.0,52001336.49
Hero,1992,19507345.0,50703338.89
Pinocchio 1992 Re-release,1992,18863559.0,49030015.35
Singles,1992,18471850.0,48011888.37
Used People,1992,17957265.0,46674383.05
The Babe,1992,17530973.0,45566368.21
Freejack,1992,17129026.0,44521630.71
Pet Sematary II,1992,17092453.0,44426570.45
Deep Cover,1992,16639799.0,43250035.71
Buffy the Vampire Slayer,1992,16624456.0,43210156.3
Pure Country,1992,15164458.0,39415340.89
Ladybugs,1992,14796494.0,38458931.74
School Ties,1992,14715067.0,38247287.31
City of Joy,1992,14683921.0,38166332.87
Memoirs of an Invisible Man,1992,14358033.0,37319287.33
Rapid Fire,1992,14356479.0,37315248.18
Cool World,1992,14110589.0,36676132.81
Mr. Saturday Night,1992,13351357.0,34702742.92
The Great Mouse Detective 1992 Re-release,1992,13288756.0,34540030.89
Class Act,1992,13272113.0,34496772.54
Trespass,1992,13249535.0,34438087.98
Enchanted April,1992,13200170.0,34309778.85
American Me,1992,13086430.0,34014146.73
Hellraiser III: Hell on Earth,1992,12534961.0,32580772.81
A Stranger Among Us,1992,12282994.0,31925862.15
Rock-A-Doodle,1992,11657385.0,30299784.12
Jennifer 8,1992,11390479.0,29606044.13
Whispers in the Dark,1992,11124511.0,28914742.18
Stay Tuned,1992,10736401.0,27905969.7
Glengarry Glen Ross,1992,10726612.0,27880526.2
Husbands and Wives,1992,10555619.0,27436082.53
Chaplin,1992,9493259.0,24674804.71
Gladiator,1992,9223441.0,23973495.87
White Sands,1992,9011574.0,23422812.82
Once Upon a Crime...,1992,8669847.0,22534598.67
Bebe's Kids,1992,8442162.0,21942801.59
Dr. Giggles,1992,8403433.0,21842137.48
Christopher Columbus: The Discovery,1992,8251071.0,21446119.35
Damage,1992,7532911.0,19579483.49
Sarafina!,1992,7309989.0,19000066.36
Mississippi Masala,1992,7308786.0,18996939.54
1492: Conquest of Paradise,1992,7191399.0,18691828.16
The Mambo Kings,1992,6742168.0,17524190.45
Article 99,1992,6375979.0,16572394.86
Night and the City,1992,6202756.0,16122154.99
Folks!,1992,6132924.0,15940648.2
Indochine,1992,5603158.0,14563684.55
Wind,1992,5519569.0,14346420.67
Of Mice and Men,1992,5471088.0,14220409.23
Split Second,1992,5430822.0,14115750.16
The Lover,1992,5013090.0,13029984.41
Innocent Blood,1992,4943279.0,12848532.2
The Playboys,1992,4906900.0,12753976.19
Diggstown,1992,4836637.0,12571349.15
Passion Fish,1992,4814619.0,12514120.13
Radio Flyer,1992,4651977.0,12091382.32
Blade Runner The Final Cut,1992,4642280.0,12066177.95
Mediterraneo,1992,4532791.0,11781594.99
Bob Roberts,1992,4479470.0,11643003.47
Twin Peaks: Fire Walk with Me,1992,4160851.0,10814851.45
Man Trouble,1992,4096030.0,10646369.21
Peter's Friends,1992,4058564.0,10548987.88
Passed Away,1992,4030793.0,10476805.71
The Gun in Betty Lou's Handbag,1992,3721911.0,9673962.03
Traces of Red,1992,3206714.0,8334866.0
K2,1992,3106559.0,8074543.91
Blame It on the Bellboy,1992,3104545.0,8069309.14
Tous les matins du monde,1992,3089497.0,8030196.49
The Public Eye,1992,3067917.0,7974105.93
CrissCross,1992,3052738.0,7934652.79
This Is My Life,1992,2922094.0,7595083.92
Reservoir Dogs,1992,2832316.0,7361733.64
The Power of One,1992,2827107.0,7348194.45
Newsies,1992,2819485.0,7328383.41
Year of the Comet,1992,2791515.0,7255684.0
Shadows and Fog,1992,2735731.0,7110690.67
Raise the Red Lantern,1992,2603061.0,6765855.84
Aces: Iron Eagle III,1992,2517600.0,6543726.27
Flirting,1992,2415396.0,6278078.43
Love Crimes,1992,2287928.0,5946764.6
Noises Off...,1992,2280148.0,5926542.89
A Brief History of Time,1992,2279692.0,5925357.66
Mom and Dad Save the World,1992,2034470.0,5287978.55
Gate 2: The Trespassers,1992,2032973.0,5284087.56
Bad Lieutenant,1992,2019469.0,5248988.07
Night on Earth,1992,2015810.0,5239477.62
Poison Ivy,1992,1829804.0,4756012.28
Delicatessen,1992,1794187.0,4663436.85
The Waterdance,1992,1723319.0,4479237.3
Casablanca 1992 Re-release,1992,1719913.0,4470384.45
Out on a Limb,1992,1659542.0,4313468.62
Daughters of the Dust,1992,1642436.0,4269006.83
Zebrahead,1992,1557771.0,4048946.23
One False Move,1992,1543112.0,4010844.67
A Midnight Clear,1992,1526697.0,3968178.93
Leaving Normal,1992,1514114.0,3935473.29
Where Angels Fear to Tread,1992,1403033.0,3646752.42
